K00001	00010 00071 00350 00625 00626 00830 00980 00982 01100 01110 01120
K00002	00010 00561 00930 01100 01110 01120
K00003	00260 00270 00300 01100 01110 01120
K00004	00650
K00005	00561 01100
K00006	00564
K00007	00040 00051
K00008	00051 01100
K00009	00051
K00010	00521 00562 01100 01110
K00011	00040 00051 00052 00561 00620 01100
K00012	00040 00053 00500 00520 01100 01110
K00013	00340 01100 01110
K00014	00400 01100 01110
K00015	00630 01100 01120
K00016	00010 00270 00620 00640 01100 01110 01120
K00018	00260 00630 00680 01100 01120
K00019	00072 00650 01100
K00020	00280 01100
K00021	00900 01100 01110 04976
K00022	00062 00071 00280 00281 00310 00380 00650 00930 01100 01110 01120
K00023	00630 00650 01120
K00024	00020 00620 00630 00680 00710 00720 01100 01110 01120
K00025	00020 00620 00630 00710 01100 01110 01120 04964
K00026	00020 00620 00630 00710 01100 01110 01120
K00027	00620 02020
K00028	00620 00710 01100 01120
K00029	00620 00710 01100 01120
K00030	00020 01100 01110 01120
K00031	00020 00480 00720 01100 01110 01120 04146
K00032	00030 00480 01100 01120
K00033	00030 00480 01100 01110 01120
K00034	00030 01120
K00035	00052
K00036	00030 00480 01100 01110 01120
K00037	00120 00140 01100
K00038	00140 01100
K00039	00040 01100
K00040	00040 01100
K00041	00040 01100
K00042	00630 01100
K00043	00650
K00044	00140 01100
K00045	00051
K00048	00620 00630 01120
K00049	00260 00620 00630 01100
K00050	00260 00630 01100
K00051	00620 00710 01100 01120
K00052	00290 01100 01110
K00053	00290 00770 01100 01110
K00054	00900 01110
K00055	00350 00360 00622 00623 00930 01100 01120
K00057	00564
K00058	00260 00680 01100 01120
K00059	00061 01040 01100
K00060	00260
K00061	00830
K00064	00053 01100 01110
K00065	00040
K00066	00051 00520 02020
K00067	00521 00523 01100 01110
K00068	00051
K00069	05202
K00070	00140 01100
K00071	00140 04960
K00072	00790 01100
K00073	00230 01120
K00074	00360 00362 00650 01100 01120
K00075	00520 00550 01100
K00077	00770 01100 01110
K00078	00040 00980
K00079	00590 00980 01100
K00081	00590 00980 01100
K00082	00740 01100
K00083	00940 01100 01110
K00084	00590 00980 01100
K00086	00561
K00087	00230 01100 01120
K00088	00230 00983 01100 01110
K00089	00140
K00090	00030 01100 01120
K00093	00680 01100 01120
K00094	00052
K00097	00750 01100
K00099	00900 01100 01110
K00100	00051 00363 00591 00625 00650 01100 01120
K00101	00620 01100
K00102	00620
K00103	00053 01100
K00104	00630 01100 01120
K00105	00564
K00106	00230 00232 00983 01100 01110 01120 04146
K00108	00260
K00109	00650
K00111	00564
K00112	00564
K00113	00564
K00114	00010 00625 00640 01100 01110 01120
K00115	00030 01100 01110
K00116	00620
K00117	00030 01100 01110
K00119	00440
K00120	00363 00624 00625 00626 00627 00903 01110 01120
K00121	00010 00071 00350 00625 00626 00680 00830 00980 00982 01100 01110 01120
K00122	00630 00680 01100 01120
K00123	00630 00680 01100 01120
K00124	00630 00680 01100 01120
K00125	00630 00680 01100 01120
K00126	00630 00680 01100 01120
K00127	00630 00680 01100 01120
K00128	00010 00040 00053 00071 00280 00310 00330 00340 00380 00410 00561 00620 00625 00640 00903 01100 01110 01120
K00129	00010 00340 00350 00360 00410 00980 00982 01100 01120
K00130	00260
K00131	00010 01100 01120
K00132	00362 00620 00621 00622 00650 01100 01120
K00133	00260 00270 00300 01100 01110 01120
K00134	00010 01100 01110 01120 05010
K00135	00250 00350 00650 01100 01120
K00137	00330 00410
K00139	00250 00650 01100 01120
K00140	00280 00410 00562 00640 01100
K00141	00622 00623 00627 01100 01120
K00143	00300 00310 01100 01110
K00145	00330 01100 01110
K00146	00360 00643 01100 01120
K00147	00330 01100
K00148	00625 00680 01100 01120
K00149	00010 00053 00071 00280 00310 00330 00340 00380 00410 00561 00620 00640 01100 01110 01120
K00150	00010 00710 01100 01110 01120
K00151	00350 01120
K00152	00626 01100 01120
K00155	00281 00626 00903 01110 01120
K00156	00620
K00157	00280 00350 00380 00750 00760 00982 01100 01120
K00158	00620 01100
K00161	00010 00020 00290 00620 00650 01100 01110 01120
K00162	00010 00020 00290 00620 00650 01100 01110 01120
K00163	00010 00020 00290 00620 00650 01100 01110 01120
K00164	00020 00310 00380 01100 01110 01120
K00166	00280 01100 01110
K00167	00280 01100 01110
K00169	00010 00020 00620 00633 00640 00650 00680 00720 01100 01120
K00170	00010 00020 00620 00633 00640 00650 00680 00720 01100 01120
K00171	00010 00020 00620 00633 00640 00650 00680 00720 01100 01120
K00172	00010 00020 00620 00633 00640 00650 00680 00720 01100 01120
K00174	00020 00720 01100 01120
K00175	00020 00720 01100 01120
K00176	00020 00720 01100 01120
K00177	00020 00720 01100 01120
K00181	04310
K00182	04310 04340 04916 05166 05200 05217
K00186	00280 01100
K00187	00280 01100
K00188	00280 01100
K00189	00280 01100
K00190	00680 00720 01120
K00191	01120
K00192	00633 00680 01120
K00193	00633 00680 01120
K00194	00633 00680 01120
K00195	00633 00680 01120
K00196	00633 00680 01120
K00197	00633 00680 01120
K00198	00633 00680 01120
K00200	00680 01100 01120
K00201	00680 01100 01120
K00202	00680 01100 01120
K00203	00680 01100 01120
K00204	00680 01100 01120
K00205	00680 01100 01120
K00206	00351 01120
K00207	00240 00410 00770 00983 01100
K00208	00061 01100
K00210	00400 00401 01100 01110
K00211	00400 01100 01110
K00212	00980
